AdjClose,Close,Date Time,High,Low,Open,Volume
0,291.4,2016-09-12 00:00:00,292.7,290.95,292.45,10000000
0,292.1,2016-09-13 00:00:00,292.1,292.1,292.1,10000000
0,290,2016-09-14 00:00:00,290,289.15,289.15,10000000
0,289.8,2016-09-19 00:00:00,289.8,288.05,288.05,10000000
0,289,2016-09-20 00:00:00,289.55,288.45,288.75,10000000
0,289.35,2016-09-21 00:00:00,289.75,288.25,288.4,10000000
0,291.65,2016-09-22 00:00:00,292.1,289.95,290.3,10000000
0,291.9,2016-09-23 00:00:00,292.9,291.9,292,10000000
0,291.6,2016-09-26 00:00:00,291.95,291.6,291.95,10000000
0,292.05,2016-09-27 00:00:00,292.75,292.05,292.75,10000000
0,289.4,2016-09-28 00:00:00,290.5,289.4,290.5,10000000
0,289.1,2016-09-29 00:00:00,289.95,289.1,289.75,10000000
0,288.5,2016-09-30 00:00:00,288.5,288.1,288.1,10000000
0,277.2,2016-10-10 00:00:00,285.75,277,285.75,10000000
0,277.9,2016-10-11 00:00:00,278,277.6,277.6,10000000
0,277.7,2016-10-12 00:00:00,278,277.65,277.75,10000000
0,278.35,2016-10-13 00:00:00,278.75,276.75,277.35,10000000
0,277.35,2016-10-14 00:00:00,277.35,277.35,277.35,10000000
0,278.7,2016-10-17 00:00:00,278.7,277.8,277.8,10000000
0,279.9,2016-10-18 00:00:00,279.9,278.35,278.4,10000000
0,279.9,2016-10-19 00:00:00,281.3,279.55,281.3,10000000
0,281.8,2016-10-20 00:00:00,281.9,281.5,281.65,10000000
0,281.85,2016-10-21 00:00:00,282.35,281.85,282.35,10000000
0,281.55,2016-10-24 00:00:00,281.55,281.55,281.55,10000000
0,281.55,2016-10-25 00:00:00,281.55,281.55,281.55,10000000
0,284.25,2016-10-26 00:00:00,284.25,284,284,10000000
0,282.85,2016-10-27 00:00:00,282.85,282.45,282.45,10000000
0,282.6,2016-10-28 00:00:00,282.6,282.6,282.6,10000000
